series,patient,group,label,fo_mean,fo_median,fo_std,fo_variance,fo_skewness,fo_kurtosis,fo_energy,fo_entropy,fo_uniformity,fo_range,fo_p10,fo_p90,fo_iqr,grad_mean,grad_std,grad_p90,axial_glcm_contrast,axial_glcm_correlation,axial_glcm_energy,axial_glcm_homogeneity,axial_glcm_dissimilarity,axial_glcm_asm,sagittal_glcm_contrast,sagittal_glcm_correlation,sagittal_glcm_energy,sagittal_glcm_homogeneity,sagittal_glcm_dissimilarity,sagittal_glcm_asm,coronal_glcm_contrast,coronal_glcm_correlation,coronal_glcm_energy,coronal_glcm_homogeneity,coronal_glcm_dissimilarity,coronal_glcm_asm,shape_volume,shape_extent_z,shape_extent_y,shape_extent_x,shape_elongation,shape_flatness,shape_sphericity
Patient_1_After_s01,Patient_1_After,Patient_1,1,51.66047086439965,54.0,17.434286110532515,303.954332183907,-2.3704220230102915,12.084149374550906,3348378520.0,1.3412964977797495,0.005302852088212117,279.0,36.0,68.0,16.0,325.986902214649,347.4369278295298,592.3377414955087,37.43912876181228,0.9651138196871132,0.5054777641734964,0.6306728545476734,2.30655300230053,0.2555250027560211,49.610383299572916,0.9447742591909092,0.4618108301193802,0.61534780029918,2.5959924604466087,0.2133337884215231,32.06013535932932,0.9609482276091543,0.44979856527303574,0.6278134111488044,2.011805438335901,0.20235013289036444,1126354.0,225.0,209.0,94.0,0.4177777777775921,0.4497607655500241,0.1888551050759677
Patient_1_After_s02,Patient_1_After,Patient_1,1,53.9310073648733,55.0,30.33079578111954,919.9571727159789,-0.554966040836372,2.07932910402575,8587655844.0,1.2001205818211769,0.0017592916021553304,369.0,18.0,90.0,36.0,574.1993536952012,352.7469111930409,977.4597178397746,56.56679445370591,0.9151737035946882,0.47734982299020134,0.5470458719870861,3.987564649002789,0.22787776048357927,36.22237523085231,0.9129250664591573,0.4582711205550666,0.5559223379695636,3.148756172845558,0.2100339102479924,35.053078531486825,0.9322281547651635,0.4182040173122437,0.5244039077871059,3.1908780551032847,0.17490747534018725,2243080.0,225.0,209.0,168.0,0.7466666666663349,0.8038277511957876,0.37609588911994063
Patient_1_After_s03,Patient_1_After,Patient_1,1,63.03963738684837,66.0,17.95597827780167,322.4171559128854,-2.805179304732349,14.149553030487674,4882993717.0,1.438870939327833,0.005655199040125259,260.0,47.0,79.0,16.0,329.7631644068834,366.30014606573764,602.5317418994496,24.572963267576377,0.9689238532908455,0.5102373250316804,0.6552817556574271,1.8436179900126466,0.26035716571307804,55.771098179108876,0.9527191584602596,0.45128379339446756,0.5967357066927547,2.827577390080426,0.20371397804248273,31.871463070614958,0.963398954036103,0.44917231545287545,0.6224066630923754,2.086981373637805,0.20179230414866026,1136528.0,222.0,212.0,94.0,0.4234234234232327,0.44339622641488524,0.19839128664348676
Patient_1_After_s04,Patient_1_After,Patient_1,1,43.17527829479562,46.0,17.22554389646486,296.7193625290378,-2.4939256036787523,11.831574191958808,2414764057.0,1.7794386510024012,0.007189071653688939,209.0,27.0,60.0,16.0,322.6534630813749,338.26842076420274,579.3964963551927,42.28353366341297,0.9622661774123519,0.5013074436959344,0.6148034499017765,2.564250354002781,0.25132807631909354,57.88012571845813,0.9513533306547157,0.43457586685920285,0.5693586084015578,3.086467214696265,0.18891294225102687,45.677136298696006,0.9607666868549425,0.45708243039694585,0.5992883088852419,2.549110836072096,0.2089578964626338,1117520.0,222.0,212.0,94.0,0.4234234234232327,0.44339622641488524,0.19507326757442786
Patient_1_After_s05,Patient_1_After,Patient_1,1,57.093697824515935,60.0,15.533256909869554,241.2820702280102,-3.4815068044210196,22.583439233684082,561962086.0,1.859069877198765,0.009615620465022769,190.0,43.0,71.0,13.0,254.3251248635661,389.41909316541273,600.4960447923447,81.28367302975403,0.9094406990447443,0.68222722801137,0.7601554540766715,2.5708242156142447,0.46548433966519126,61.24586554095774,0.8518691679185404,0.9144125015362174,0.9436915764069125,1.2574492929095868,0.8361701933575346,0.0,0.0,0.0,0.0,0.0,0.0,160516.0,204.0,510.0,107.0,0.20980392156858632,0.5245098039213115,0.0023110491300032724
Patient_1_After_s06,Patient_1_After,Patient_1,1,60.609161566865495,63.0,19.572498263936264,383.0826882917881,-1.6021420445895855,8.993121990343344,314196268.0,1.307546527907396,0.004216468531969624,295.0,39.0,79.0,21.0,378.19887305573536,539.3653982806771,1268.741738333268,355.7091269841268,0.39144418943811826,0.21327600001076363,0.2509382121429398,13.175396825396824,0.045965057319224054,174.63769045121202,0.7613544114414115,0.7349471928025175,0.7744726015570196,4.4628829318246686,0.5406745162103791,0.0,0.0,0.0,0.0,0.0,0.0,77454.0,161.0,384.0,65.0,0.16927083333328927,0.40372670807428346,0.0026124714665390998
Patient_1_After_s07,Patient_1_After,Patient_1,1,61.07821715590693,65.0,17.19420120181694,295.6405549685632,-1.5480961992689095,55.817363307828764,832136803.0,0.6727647888577134,0.004813527312987563,500.0,50.0,72.0,9.0,289.8839260151738,509.2209543805182,901.7782432505234,44.56769496738364,0.9682188601646341,0.33459762447542774,0.6861673512257416,1.7575346785671362,0.11202125906841648,141.87507845106984,0.8989735567725332,0.4541173958220638,0.6260897234261731,4.2034258322266425,0.20659421882278806,53.71690261756433,0.9040191710940209,0.4013208772609956,0.6577167274943627,2.5752638811780777,0.16141348079619694,206681.0,181.0,169.0,48.0,0.26519337016559935,0.28402366863888523,0.06656810702492946
Patient_1_After_s08,Patient_1_After,Patient_1,1,50.59367114426411,54.0,17.662330181440602,311.9579074382276,-2.816439806592616,20.90698325477908,492765495.0,0.7002850345489122,0.004254824003622144,500.0,39.0,63.0,11.0,352.21357472906146,533.3844444366676,1157.5406688157184,19.776690823890597,0.9540144249400914,0.3376383832439262,0.7048320335456792,1.331931804741188,0.114089825516201,135.02316623474843,0.8890447648380904,0.3873632057776147,0.5479801650379994,5.039346452866892,0.15038185168579057,0.0,0.0,0.0,0.0,0.0,0.0,171595.0,230.0,365.0,47.0,0.12876712328763595,0.2043478260868677,0.006739495899012031
Patient_1_Before_s01,Patient_1_Before,Patient_1,1,68.29847987278492,70.0,30.868774669254545,952.8812495812111,-0.5542010246946321,3.8775250120791327,17896355479.0,0.8845867753957997,0.001329907172981499,500.0,33.0,103.0,35.0,598.4335223234245,349.7896894290782,1002.6779143872673,18.8733342125849,0.9400527200151183,0.42452354336461484,0.5544101911816659,2.3827951464995856,0.18023023847288636,19.955413876845146,0.9402585344764803,0.43849234598548625,0.5732290584526054,2.299511518318247,0.19229240265481645,14.198088686753612,0.9518676695352923,0.42402386445480006,0.5850166694183365,1.9356203623455943,0.17980922350363804,3185786.0,252.0,269.0,182.0,0.6765799256503061,0.7222222222219357,0.31257996420135553
Patient_1_Before_s02,Patient_1_Before,Patient_1,1,78.58112266122814,81.0,24.291646159909305,590.0840731582365,-1.586952617396727,9.27298211967357,5333911361.0,0.825240486771192,0.0019017110813183485,500.0,54.0,104.0,25.0,532.7156539447564,568.0328025600774,1111.462100118578,28.62938166099687,0.9654092174002669,0.4060520920458286,0.542199138927867,2.5810633953539397,0.16488648589354774,78.6056393839622,0.9098982732196502,0.43196170065548095,0.5403617687327317,3.9143324015045255,0.18681629664551874,70.30709947846668,0.9202446530100503,0.4113534137113607,0.5299850079860284,3.7766272531953913,0.16941452253005904,788448.0,252.0,269.0,47.0,0.17472118959101313,0.18650793650786252,0.07736020172561194
