series,patient,group,label,slice_idx,liver_px,fo_mean,fo_median,fo_std,fo_skewness,fo_kurtosis,fo_p10,fo_p90,fo_iqr,fo_range,fo_entropy,glcm_contrast,glcm_correlation,glcm_energy,glcm_homogeneity,glcm_dissimilarity,glcm_asm
Patient_1_After_s01,Patient_1_After,Patient_1,1,6,330,35.7030303030303,45.0,27.175127719568113,-1.4773405580756633,2.266330389769335,-1.1000000000000014,60.0,29.75,147.0,1.3813354622634058,1.9937908840338134,0.9309474650753649,0.9928707122465384,0.9939186970997596,0.0747069840631816,0.985792292518199
Patient_1_After_s01,Patient_1_After,Patient_1,1,9,705,46.808510638297875,55.0,28.52743233545813,-2.2031171149728936,5.036222231831635,12.0,69.0,17.0,186.0,1.0677910885495308,2.5918470759800005,0.957654919955595,0.9852240065523985,0.988376970875143,0.1122490658341981,0.9706664290615408
Patient_1_After_s01,Patient_1_After,Patient_1,1,12,1005,51.93233830845771,58.0,23.29617650615537,-2.649547280874891,8.885707923967177,30.0,70.0,17.0,188.0,1.0162494501705739,3.4298243437324363,0.9616744568999285,0.979082327603807,0.9838836488432763,0.1453838264012055,0.9586023422894425
Patient_1_After_s01,Patient_1_After,Patient_1,1,15,1468,51.328337874659404,58.0,25.39574699348752,-2.73321299111439,9.39581697599788,29.0,71.0,18.0,189.0,1.0236744012693908,4.452821283565813,0.9693993724497625,0.9697787151660886,0.9772008303038321,0.1914928429159847,0.9404709884015627
Patient_1_After_s01,Patient_1_After,Patient_1,1,18,1984,51.296370967741936,56.0,22.7581044350202,-2.626234146171428,9.255153029017405,31.0,70.0,17.0,198.0,0.9667337866159429,5.036222727860777,0.9712467692839757,0.9592680591101701,0.9697014106618846,0.23450010850033826,0.9201955468972165
Patient_1_After_s01,Patient_1_After,Patient_1,1,21,2518,53.533756949960285,57.0,20.90903395228515,-2.486895387706121,9.372330574091498,35.0,72.0,17.0,185.0,1.0394596263396787,5.933954090852199,0.9734323043407709,0.9485189280725905,0.96054858478239,0.2998788207772744,0.8996885608047234
Patient_1_After_s01,Patient_1_After,Patient_1,1,24,3607,48.499584141946215,53.0,22.424958800505834,-1.839129680708552,5.337856018154,23.0,70.0,20.5,183.0,1.0916161185168638,8.626038984598555,0.9698481681619269,0.926128668311109,0.9408442969016401,0.47187772745972667,0.8577151887588903
Patient_1_After_s01,Patient_1_After,Patient_1,1,27,5619,51.95568606513614,55.0,19.893889925047922,-2.146321581669203,8.03770999244014,34.0,71.0,18.0,188.0,1.0309986851747936,10.063356596061038,0.9757415606330999,0.8861437627312172,0.9108977129158321,0.622833181576461,0.7852520101698268
Patient_1_After_s01,Patient_1_After,Patient_1,1,30,7123,51.86606766811737,55.0,20.34714253303139,-2.6452615605451193,11.066570450216409,35.0,70.0,16.0,204.0,0.9342427441389343,10.640931901750672,0.9789124427574913,0.8560586342055984,0.8920838946338954,0.6871309064030519,0.7328381195175713
Patient_1_After_s01,Patient_1_After,Patient_1,1,33,8432,52.912476280834916,56.0,18.752803103231383,-2.7907735101688695,12.348299073964542,38.0,70.0,15.0,193.0,0.9678348454368835,13.282358384468395,0.979687397562132,0.8298912119069275,0.8725141014686688,0.816386030103479,0.6887216177020054
Patient_1_After_s01,Patient_1_After,Patient_1,1,36,9539,52.68497746094979,55.0,18.235516326513306,-3.0122634633384178,14.342408603320088,39.0,68.0,14.0,204.0,0.9031839094665041,13.388565851795132,0.9799879613734352,0.8079822253301581,0.858687114879056,0.8576869969347662,0.6528377765553534
Patient_1_After_s01,Patient_1_After,Patient_1,1,39,10684,52.46162485960315,55.0,18.246828976784307,-2.9106733507900957,13.920661049947793,38.0,69.0,15.0,193.0,0.9625245676788485,14.49703866373682,0.9792910336581742,0.7853834920544227,0.8391912833782443,0.980134718227027,0.6168300140650312
Patient_1_After_s01,Patient_1_After,Patient_1,1,42,11999,51.25127093924494,53.0,17.744765178331257,-2.6407281207732836,13.078347976089582,36.0,68.0,16.0,199.0,0.94273444822169,17.69004751902794,0.9786115348648974,0.7590035847352719,0.8168574931585282,1.1490639872043062,0.5760897777177942
Patient_1_After_s01,Patient_1_After,Patient_1,1,45,13364,49.40728823705477,52.0,18.485439496281277,-2.234934244975959,9.879125751784173,32.0,68.0,18.0,195.0,0.9815747003913536,22.21687869118585,0.9754724697128375,0.7309571490972969,0.7912419942807409,1.394840976147558,0.5343032020258793
Patient_1_After_s01,Patient_1_After,Patient_1,1,48,14969,50.70933262074955,53.0,17.863045740166964,-2.701432606294875,13.609700089454169,35.0,67.0,16.0,193.0,0.9717247576023742,23.85000521313079,0.974338053104503,0.6987981095808412,0.7700755757863981,1.487335700823246,0.4883248706925684
Patient_1_After_s01,Patient_1_After,Patient_1,1,51,16841,52.538388456742474,55.0,17.939058922844115,-2.269437730567293,9.478193059224003,36.0,70.0,16.0,208.0,0.9062697102770919,26.57932350280518,0.9719347086567559,0.6605963928867814,0.7466777714583007,1.6063161518307854,0.43639645343755384
Patient_1_After_s01,Patient_1_After,Patient_1,1,54,19030,53.68928008407777,56.0,17.153661983675438,-2.5647225711314086,14.012829852061383,39.0,70.0,15.0,270.0,0.6891330106532446,16.643999115465043,0.9722259632231728,0.6181991816844149,0.7407208174926069,1.3223537616404601,0.3821802005176983
Patient_1_After_s01,Patient_1_After,Patient_1,1,57,20615,53.43730293475625,55.0,15.28478897154267,-2.3500534369764536,13.319616937101845,39.0,68.0,15.0,225.0,0.8154082581372868,25.481234255099917,0.9696995680787077,0.5862192138370994,0.7064332330021862,1.6657441799876587,0.3436642693776881
Patient_1_After_s01,Patient_1_After,Patient_1,1,60,22032,49.70261437908497,52.0,17.129806241317926,-2.557896307579023,12.956210401251735,34.0,66.0,15.0,232.0,0.7998285814238042,22.33613098508254,0.9705878727821627,0.5579669696756956,0.689090263424465,1.6781680295147563,0.3113403514815943
Patient_1_After_s01,Patient_1_After,Patient_1,1,63,23419,47.990392416414025,50.0,17.5654386888992,-2.3277258226288606,11.746777762793652,32.0,64.0,16.0,253.0,0.7418867253062051,20.28128687198386,0.9687396721848828,0.5306740961830974,0.6758734991122127,1.6641138969185563,0.28162934259934136
Patient_1_After_s01,Patient_1_After,Patient_1,1,66,24549,46.82158132714164,49.0,17.651334706986837,-2.202951220408115,10.420065148679699,30.0,64.0,16.0,268.0,0.7042572773656907,16.876030851512322,0.9716290337487299,0.5101662240448284,0.6692215642762136,1.5686014529927905,0.26028238002964926
Patient_1_After_s01,Patient_1_After,Patient_1,1,69,25366,50.24524954663723,52.0,16.322555502293692,-1.8542477640457493,13.835865393427728,35.0,66.0,15.0,275.0,0.6756606001008489,15.509711172767172,0.973671028944346,0.4957092562928735,0.6650343492120186,1.5145010382551019,0.24573894820170195
Patient_1_After_s01,Patient_1_After,Patient_1,1,72,25323,53.35971251431505,54.0,15.429916126841421,-1.7377958979394255,12.473132063740614,39.0,69.0,14.0,250.0,0.7364771478371858,16.563163186255426,0.9777709419078375,0.4969924365623812,0.6603297095932158,1.5673988088881383,0.24701102191062435
Patient_1_After_s01,Patient_1_After,Patient_1,1,75,24095,55.98315003112679,57.0,15.295877157479737,-2.421989637816393,16.29142873520236,42.0,72.0,15.0,225.0,0.8168840592018171,18.351884439122482,0.9806464505987851,0.5210539380589232,0.6724159612370538,1.561545992814213,0.27150546788384616
Patient_1_After_s01,Patient_1_After,Patient_1,1,78,21878,55.374577200841024,57.0,15.065902308536884,-2.925256382341934,20.3633481037456,42.0,70.0,13.0,213.0,0.8488590828628432,18.00806218092475,0.9825399012154552,0.5647820493538211,0.7037082281302494,1.4286407166341455,0.31898580104667607
Patient_1_After_s01,Patient_1_After,Patient_1,1,81,19174,56.26207364138938,57.0,15.647237204194738,-2.1548047198384457,14.550392990761125,42.0,72.0,15.0,215.0,0.8612187874248785,16.208310818560893,0.9834880926692257,0.6178900934743629,0.7421516976058988,1.2474578392825562,0.3817939065822318
Patient_1_After_s01,Patient_1_After,Patient_1,1,84,15786,54.5160902065121,56.0,15.822098702969166,-2.1749328076631342,12.334321042146602,39.0,70.0,15.0,207.0,0.8930561767370115,15.467145381737671,0.9836210372608165,0.6845505413490666,0.7824453921501716,1.110809676303815,0.46861384652828747
Patient_1_After_s01,Patient_1_After,Patient_1,1,87,11242,49.9172745063156,53.0,15.588243467337241,-2.4870805360129253,11.829547640402248,34.0,65.0,14.0,183.0,0.9925452728012899,15.694752703413785,0.9828562119155945,0.7743588081804683,0.8363865404848393,0.9493116713730732,0.5996344820256598
Patient_1_After_s01,Patient_1_After,Patient_1,1,90,7348,44.826483396842676,48.0,16.551965999050385,-1.6818689839221497,5.586942079669486,24.0,61.0,17.25,182.0,1.0345016016186979,11.669177084813814,0.9806820603162885,0.8518349438302808,0.893326627780054,0.6481138022045791,0.7256244179082959
Patient_1_After_s01,Patient_1_After,Patient_1,1,93,3606,43.696339434276204,47.0,16.147257147545034,-2.0709580064018462,9.129959587351848,25.0,59.0,17.0,181.0,1.0282027359688386,7.739277372492841,0.9764437066719496,0.9267449636998688,0.9490072081956552,0.34719944264092717,0.8588568399611208
Patient_1_After_s01,Patient_1_After,Patient_1,1,96,1478,41.20906630581867,44.0,19.652088942522244,-1.5161607490456965,5.2957909460687915,16.0,62.0,24.0,178.0,1.105709848060504,4.2886566770858225,0.9697040976831104,0.9696403716472695,0.9785735945043899,0.1695864127999872,0.9402026315944831
Patient_1_After_s02,Patient_1_After,Patient_1,1,0,1411,55.84904323175053,59.0,31.7759346937504,-1.5493324634035477,4.8673718553741,23.0,90.0,34.5,224.0,0.973692563456541,5.99156339198117,0.9436178615478378,0.9709166474294688,0.9745221066613375,0.28147096423575424,0.9426793579680177
Patient_1_After_s02,Patient_1_After,Patient_1,1,3,1579,60.401519949335025,62.0,24.62968850062506,-0.683902278664936,2.617846321557141,31.0,90.0,30.0,240.0,0.8795010478092972,6.473989310724819,0.938121889963042,0.967424150291327,0.9717166813743958,0.30385559554612873,0.9359097620689084
Patient_1_After_s02,Patient_1_After,Patient_1,1,6,2059,54.234579893152016,58.0,32.57842704383701,-1.0707430161269322,2.6442348871309287,16.0,90.0,36.0,255.0,0.8710955556499382,5.699412433707596,0.950713181686865,0.9578485382002198,0.9632986745965662,0.34777399630563416,0.9174741287919901
Patient_1_After_s02,Patient_1_After,Patient_1,1,9,2200,58.88818181818182,60.0,29.22769928997361,-0.5521465793600353,1.81185538267271,24.0,94.0,36.0,247.0,0.8894402429784942,7.416913958700988,0.9413304228657403,0.9549723122180543,0.9604948760879627,0.4079473333893763,0.9119724646308867
Patient_1_After_s02,Patient_1_After,Patient_1,1,12,2578,57.00155159038014,59.0,33.64668333397656,-0.8983836179277065,2.4933342646860037,17.0,96.0,39.75,261.0,0.8605317295453031,7.816021632019342,0.9449535712030146,0.9475034025206975,0.9539257390108953,0.46456459574309106,0.8977630894008234
Patient_1_After_s02,Patient_1_After,Patient_1,1,15,2749,56.799199708985086,58.0,31.865538928501447,-0.3461166917471523,0.993409288983214,18.0,96.20000000000027,41.0,267.0,0.84094675604148,8.813886229128917,0.9383311228929259,0.9439169500058358,0.9504433408267572,0.5131497308580042,0.8909796427316501
Patient_1_After_s02,Patient_1_After,Patient_1,1,18,3761,51.62642914118585,54.0,38.1118860148438,-0.6039674755277618,1.1381568674579245,5.0,97.0,48.0,269.0,0.8620721333790596,12.78661384218481,0.929123415948884,0.923157412318743,0.9314668559480878,0.7447275788967721,0.8522204707043629
Patient_1_After_s02,Patient_1_After,Patient_1,1,21,4491,56.49498997995992,58.0,34.93734773905332,-0.3161100949383093,0.6801413523531261,14.0,100.0,44.0,274.0,0.8354373825660761,15.921571160320998,0.9259536285613481,0.9084576473919923,0.9184626739294048,0.8879767107618446,0.8252963701210146
Patient_1_After_s02,Patient_1_After,Patient_1,1,24,5688,55.21009142053446,58.0,34.090477831118015,-0.637813802946753,1.7746906340107031,14.0,95.0,41.0,269.0,0.8428082550381626,16.08965421613337,0.9405544869073788,0.8847919548239755,0.8984055903166474,1.0039036781870188,0.7828580256899457
Patient_1_After_s02,Patient_1_After,Patient_1,1,27,6192,56.05717054263566,57.0,31.757468148588945,-0.4909994561814946,1.689610590698548,18.0,94.0,40.0,283.0,0.7912978450300703,15.148159862681872,0.9425733651499874,0.8747768498584467,0.8910716968218947,1.0029007105166639,0.7652358891283724
Patient_1_After_s02,Patient_1_After,Patient_1,1,30,7093,55.22740730297476,57.0,32.00241027865043,-0.8412384216787705,2.774674445175723,19.0,93.0,38.0,253.0,0.8809221513925651,19.7537426572716,0.9464830997694401,0.8568650127198829,0.8743329235732917,1.2282597524418604,0.734219253187401
